GeoID,FIPS,County,County_Long,County_ST,County_ST_Long,ECODE,Chapter,RCODE,Region,DCODE,Division,Address,Address_2,City,State,Zip,Phone,Time_Zone,FEMA_Region,Acres,SQ_MI,Pop_2023,Pop_2028,Male_Pop_2023,Female_Pop_2023,HH_Pop_2023,Fam_Pop_2023,Pop_Den_2023,Total_HH_2023,Avg_HH_Size_2023,Avg_Fam_Size_2023,Total_HU_2023,Owner_2023,Renter_2023,Vacant_2023,Med_Home_Val_2023,Avg_Home_Val_2023,Median_Age_2023,Youth_0_14_Pop_2023,Yng_Adult_15_24_Pop_2023,Adult_25_64_Pop_2023,Seniors_65_up_Pop_2023,Pop_White_2023,Pop_Black_2023,Pop_Am_Indian_2023,Pop_Asian_2023,Pop_Pacific_2023,Pop_Other_2023,Pop_2_Plus_Races_2023,Hisp_Pop_2023,Diversity_Index_2023,Med_HH_Inc_2023,Avg_HH_Inc_2023,Per_Cap_Inc_2023,Emp_Pop_2023,Unemp_Pop_2023,Unemp_Rate_2023
4801543338,48015,Austin,Austin County,TX,Texas,43338,American Red Cross of Coastal Plains Texas,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,420056,656,"30,764","31,126","15,362","15,402","30,479","25,855",48,"11,929",2.56,3.07,"14,225","9,198","2,731","2,296","$244,033","$331,947",42.4,"5,689","3,332","15,377","5,795","20,076","2,648",292,229,8,"3,294","4,217","8,503",72,"70,643","$93,314","$36,197","$14,483",704,4.6
4803943338,48039,Brazoria,Brazoria County,TX,Texas,43338,American Red Cross of Coastal Plains Texas,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,922517,1441,"392,214","406,326","197,964","194,250","381,900","331,431",289,"134,999",2.83,3.32,"150,100","101,696","33,303","15,101","$286,629","$305,138",36.8,"85,226","47,025","206,441","49,226","193,034","60,782","2,920","30,656",196,"45,236","59,390","123,458",83,"85,657","$121,453","$41,842","$185,547","7,055",3.7
4815743338,48157,Fort Bend,Fort Bend County,TX,Texas,43338,American Red Cross of Coastal Plains Texas,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,566687,885,"913,614","1,007,183","448,523","465,091","908,932","827,280","1,061","293,621",3.10,3.50,"310,028","234,371","59,250","16,407","$336,819","$372,901",35.8,"209,747","110,956","489,772","96,676","312,035","182,500","5,330","199,454",427,"88,290","125,578","232,071",86,"100,829","$135,434","$43,537","$438,600","17,653",3.9
4816743338,48167,Galveston,Galveston County,TX,Texas,43338,American Red Cross of Coastal Plains Texas,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,261143,408,"367,634","386,612","182,584","185,050","362,733","300,214",972,"139,932",2.59,3.18,"164,190","97,802","42,130","24,258","$292,108","$337,178",39.2,"70,193","43,362","193,634","55,146","218,284","48,934","2,871","14,441",317,"31,745","51,042","95,303",75,"82,153","$112,630","$42,915","$178,244","7,289",3.9
4833943338,48339,Montgomery,Montgomery County,TX,Texas,43338,American Red Cross of Coastal Plains Texas,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,689164,1077,"684,914","788,833","341,190","343,724","680,748","585,636",658,"244,083",2.79,3.29,"264,361","178,568","65,515","20,278","$315,447","$381,331",38.3,"139,171","82,094","357,606","97,946","447,334","36,963","7,005","23,303",848,"74,482","94,979","190,738",72,"90,960","$133,356","$47,549","$323,888","10,511",3.1
4847143338,48471,Walker,Walker County,TX,Texas,43338,American Red Cross of Coastal Plains Texas,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,513069,802,"79,114","81,619","45,298","33,816","60,210","43,402",101,"25,932",2.32,2.95,"30,299","14,709","11,223","4,367","$192,268","$225,971",33.3,"9,633","18,385","40,023","10,033","42,789","18,140",492,"1,309",44,"10,785","5,555","17,621",76,"43,286","$62,318","$21,305","$25,948","1,184",4.4
4847343338,48473,Waller,Waller County,TX,Texas,43338,American Red Cross of Coastal Plains Texas,43R28,Texas Gulf Coast Region,D22,Southwest and Rocky Mountain Division,2610 B F Terry Blvd,0,Rosenberg,TX,77471,281-342-9480,Central,VI,331462,518,"61,073","72,164","30,329","30,744","54,795","45,869",119,"18,836",2.91,3.47,"21,256","14,119","4,717","2,420","$270,931","$326,105",33.3,"11,646","12,374","28,446","7,996","28,030","12,771",707,864,22,"10,448","8,231","20,737",83,"68,961","$99,187","$30,990","$26,474","1,142",4.1
0603705388,06037,Los Angeles,Los Angeles County,CA,California,05388,ARC serving Western Los Angeles,05R12,Los Angeles Region,D21,Pacific Division,1450 11th Street,0,Santa Monica,CA,90401,310-394-3773,Pacific,IX,240699,376,"9,965,925","9,933,940","4,938,901","5,027,024","9,757,791","7,936,915","2,456","3,427,635",2.85,3.45,"3,622,897","1,579,073","1,848,562","195,262","$792,145","$930,606",36.6,"1,798,596","1,363,939","5,324,901","1,308,463","3,099,571","787,188","163,923","1,542,025","24,033","2,841,231","1,507,954","4,896,069",88,"81,362","$120,981","$41,719","$4,760,372","251,156",5.0
0603705280,06037,Los Angeles,Los Angeles County,CA,California,05280,ARC serving the Greater San Gabriel and Pomona Valleys,05R12,Los Angeles Region,D21,Pacific Division,376 W Huntington Drive,0,Arcadia,CA,91007,626-447-2193,Pacific,IX,543757,850,"9,965,925","9,933,940","4,938,901","5,027,024","9,757,791","7,936,915","2,456","3,427,635",2.85,3.45,"3,622,897","1,579,073","1,848,562","195,262","$792,145","$930,606",36.6,"1,798,596","1,363,939","5,324,901","1,308,463","3,099,571","787,188","163,923","1,542,025","24,033","2,841,231","1,507,954","4,896,069",88,"81,362","$120,981","$41,719","$4,760,372","251,156",5.0
0603705180,06037,Los Angeles,Los Angeles County,CA,California,05180,ARC serving Metro and Southeast Los Angeles,05R12,Los Angeles Region,D21,Pacific Division,1450 S Central Ave,0,Los Angeles,CA,90021,310-445-9900,Pacific,IX,119308,186,"9,965,925","9,933,940","4,938,901","5,027,024","9,757,791","7,936,915","2,456","3,427,635",2.85,3.45,"3,622,897","1,579,073","1,848,562","195,262","$792,145","$930,606",36.6,"1,798,596","1,363,939","5,324,901","1,308,463","3,099,571","787,188","163,923","1,542,025","24,033","2,841,231","1,507,954","4,896,069",88,"81,362","$120,981","$41,719","$4,760,372","251,156",5.0
