OBJECTID,ECODE,Chapter,Region_Type,RCODE,Region,DCODE,Division,Chapter_Address,Chapter_Address_2,Chapter_City,Chapter_State,Chapter_Zip,Chapter_Phone,Time_Zone,FEMA_Region,Status,Score,Match_addr
1,01192,American Red Cross serving North Alabama,C,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,1015 Airport Road SW,Suite 202,Huntsville,AL,35802,256-536-0884,Central,IV,,,
2,01216,American Red Cross serving Central East Alabama,C,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,5015 Woods Crossing Dr,0,Montgomery,AL,36106,334-260-3980,Central,IV,,,
3,01208,American Red Cross serving South Alabama,C,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,35 N Sage Ave,0,Mobile,AL,36607,251-544-6100,Central,IV,,,
4,01288,American Red Cross serving Central West Alabama,C,01R04,Alabama and Mississippi Region,D25,Southeast and Caribbean Division,"2130 Paul W. Bryant Dr,",Ste B,Tuscaloosa,AL,35401,205-758-3608,Central,IV,,,
5,02012,American Red Cross serving Alaska,R,02R04,Alaska Region,D21,Pacific Division,235 East 8th Avenue,Ste 200,Anchorage,AK,99501,907-646-5400,Alaska,X,,,
6,03008,American Red Cross of Central and Northern Arizona,R,03R04,Arizona and New Mexico Region,D22,Southwest and Rocky Mountain Division,4747 N. 22nd Street,Suite 100,Phoenix,AZ,85016,602-336-6660,Mountain,IX,,,
7,03060,American Red Cross of Southern Arizona,C,03R04,Arizona and New Mexico Region,D22,Southwest and Rocky Mountain Division,2916 East Broadway Blvd.,0,Tucson,AZ,85716,520-318-6740,Mountain,IX,,,
8,04304,American Red Cross serving Northwest Arkansas,C,25R16,Missouri and Arkansas Region,D22,Southwest and Rocky Mountain Division,1200 West Walnut St.,Suite 2310,Rogers,AR,72756,479-633-8330,Central,VI,,,
9,05058,American Red Cross of the Central Coast,C,05R28,Northern California Coastal Region,D21,Pacific Division,2960 Soquel Avenue,0,Santa Cruz,CA,95062,831-624-6921,Pacific,IX,,,
10,05112,American Red Cross of Central Valley,C,05R04,Central California Region,D21,Pacific Division,1300 W Shaw Ave. ,4B,Fresno,CA,93711,559-455-1000,Pacific,IX,,,
11,05132,American Red Cross serving Greater Long Beach and South Bay,C,05R12,Los Angeles Region,D21,Pacific Division,3150 E. 29th Street,0,Long Beach,CA,90806,562-595-6341,Pacific,IX,,,
12,05147,American Red Cross of Kern County and Eastern Sierra,C,05R04,Central California Region,D21,Pacific Division,5035 Gilmore Ave.,0,Bakersfield,CA,93308,661-324-6427,Pacific,IX,,,
13,05264,American Red Cross of Orange County,C,05R32,Southern California Region,D21,Pacific Division,600 Parkcenter Drive,0,Santa Ana,CA,92705,714-481-5300,Pacific,IX,,,
14,05180,American Red Cross serving Metro and Southeast Los Angeles,R,05R12,Los Angeles Region,D21,Pacific Division,1450 S Central Ave,0,Los Angeles,CA,90021,310-445-9900,Pacific,IX,,,
15,05324,American Red Cross of Riverside County,C,05R32,Southern California Region,D21,Pacific Division,6177 River Crest Drive,Ste B,Riverside,CA,92507,888-831-0031,Pacific,IX,,,
16,05332,American Red Cross of Sierra-Delta,R,05R20,California Gold Country Region,D21,Pacific Division,1565 Exposition Blvd.,0,Sacramento,CA,95815,916-993-7070,Pacific,IX,,,
17,05310,American Red Cross of the North Bay,C,05R28,Northern California Coastal Region,D21,Pacific Division,5297 Aero Dr.,0,Santa Rosa,CA,95403,707-577-7600,Pacific,IX,,,
18,05350,American Red Cross of the Heart of the Valley,C,05R28,Northern California Coastal Region,D21,Pacific Division,65 North Commerce Street,0,Stockton,CA,95202,800-733-2767,Pacific,IX,,,
19,05348,American Red Cross of San Diego and Imperial Counties,R,05R32,Southern California Region,D21,Pacific Division,3950 Calle Fortunada,0,San Diego,CA,92123,858-309-1200,Pacific,IX,,,
20,05378,American Red Cross of the Silicon Valley,C,05R28,Northern California Coastal Region,D21,Pacific Division,2731 N. 1st Street,0,San Jose,CA,95134,877-727-6771,Pacific,IX,,,
21,05468,American Red Cross of the Pacific Coast,R,05R04,Central California Region,D21,Pacific Division,836 Calle Plano,0,Camarillo,CA,93012,805-687-1331,Pacific,IX,,,
22,05388,American Red Cross serving Western Los Angeles,C,05R12,Los Angeles Region,D21,Pacific Division,1450 11th Street,0,Santa Monica,CA,90401,310-394-3773,Pacific,IX,,,
